query,result,section,set,relevance
list file,ls,1,base,5
list file,sockstat,1,base,4
list file,git-ls-files,1,pkg,5
list file,file,1,base,2
list file,file,n,base,1
list file,ntp.keys,5,base,0
list file,ntp.conf,5,base,0
sig,signal,3,base,5
sig,signal,7,base,5
sig,sigrelse,3,base,3
sig,sighold,3,base,3
sig,raise,3,base,4
test,tests,7,base,5
test,test,1,base,5
test,atf-test-case,4,base,4
test,atf-test-program,1,base,4
test,wire-test,8,base,2
npf,npf,7,base,5
npf,npf.conf,5,base,4
npf,libnpf,3,base,4
npf,npfctl,8,base,4
npf,makedev,8,base,0
rump,rump,7,base,5
rump,rump.halt,1,base,3
rump,rump.dhcpclient,1,base,2
rump,rumpclient,3,base,4
rump,librump,3,base,4
rump,rump_server,1,base,3
rump,rumpfs,4,base,3
ls,ls,1,base,5
ls,mktexlsr,1,pkg,0
ls,git-ls-files,1,pkg,4
ls,nslookup,8,base,0
ls,FcLangSetHasLang,3,pkg,0
ls,FcLangSetCopy,3,pkg,0
ls,FcLangSetHash,3,pkg,0
ls,chflags,1,base,2
ls,getbsize,3,base,1
ls,column,1,base,2
chkdsk,mkisofs,8,base,5
iic,iic,4,base,5
iic,i2cscan,8,base,4
iic,alipm,4,base,4
iic,ichsmb,4,base,4
iic,alpha/tsciic,4,base,4
iic,acpiec,4,base,1
iic,iic,9,base,5
route,route,8,base,5
route,routed,8,base,5
route,route,4,base,5
route,route.conf,5,base,5
route,multicase,4,base,5
route,route6d,8,base,4
route,rt_timer,9,base,3
route,gcc,1,base,0
route,csh,1,base,0
route,ldpd,8,base,0
route,arp,4,base,2
route,netstat,1,base,3
route,tr,4,base,0
kernel,kthread_create,9,base,3
kernel,librump,3,base,2
kernel,kvm,3,base,4
kernel,lockstat,8,base,3
kernel,kloader,4,base,3
kernel,lock,9,base,4
kernel,module,7,base,4
kernel,rump_server,1,base,2
kernel,knote,9,base,4
kernel,ddb,4,base,4
kernel,module,9,base,4
kernel,kauth,9,base,4
kernel,rumpfs,4,base,2
kernel,config,5,base,4
kernel,nsmp,4,base,1
kernel,intro,9,base,5
kernel,luactl,8,base,2
config,config,1,base,5
config,config,9,base,5
config,config,5,base,5
config,atf-config,1,base,3
config,git-config,1,pkg,1
config,krb5-config,1,base,1
config,config.samples,5,base,4
config,route.conf,5,base,3
config,modules.conf,5,base,3
lwp,_lwp_create,2,base,5
lwp,_lwp_exit,2,base,5
lwp,_lwp_park,2,base,4
lwp,_lwp_makecontext,2,base,4
lwp,_lwp_kill,2,base,5
lwp,kpreempt,9,base,2
lwp,_lwp_getprivate,2,base,4
lwp,rumpuser,3,base,0
lwp,AS,1,base,0
lwp,gcc,1,base,0
lwp,curproc,9,base,3
lwp,kpause,9,base,3
lwp,_lwp_unpark,2,base,4
lwp,_lwp_setname,2,base,4
lwp,_lwp_getname,2,base,4
light weight process,_lwp_create,2,base,5
light weight process,_lwp_detach,2,base,4
light weight process,_lwp_self,2,base,4
light weight process,_lwp_wait,2,base,4
light weight process,_lwp_exit,2,base,5
light weight process,_lwp_kill,2,base,5
light weight process,pthread,3,base,3
light weight process,kthread_create,9,base,3
light weight process,got-config,1,pkg,0
gethostbyname,gethostbyname,3,base,5
gethostbyname,route,8,base,2
gethostbyname,htonl,3,base,2
gethostbyname,hosts,5,base,3
gethostbyname,hostname,7,base,4
gethostbyname,rexec,3,base,0
gethostbyname,rcmd,3,base,0
gethostbyname,bt_gethostbyname,3,base,5
gethostbyname,getaddrinfo,3,base,5
gethostbyname,resolv.conf,5,base,4
gethostbyname,nsswitch.conf,5,base,3
gethostbyname,krb5_get_default_principal,3,base,0
gethostbyname,Xserver,1,base,0
gethostbyname,bootptab,5,base,1
lua,lua,1,base,5
lua,lua,4,base,5
lua,luac,1,base,5
lua,luactl,8,base,4
lua,intro,3lua,base,5
lua,url,4,base,0
lua,axe,4,base,0
uname,uname,3,base,5
uname,uname,1,base,5
uname,installboot,8,base,1
uname,crunchgen,1,base,1
uname,machine,1,base,4
uname,mandoc,1,base,1
uname,platform,n,pkg,4
uname,find,1,base,1
uname,symlink,7,base,1
get system information,uname,1,base,5
get system information,uname,2,base,5
get system information,crontab,1,base,0
get system information,scsi,0,base,0
get system information,sysctl,7,base,3
get system information,siginfo,2,base,0
get system information,dumpfs,8,base,0
get system information,userinfo,8,base,3
get system information,groupinfo,8,base,3
get system information,rpcinfo,8,base,0
get system information,mount,8,base,0
get system information,tzset,3,base,0
get system information,pac,8,base,0
get system information,locale,1,base,2
sh,sh,1,base,5
sh,atf-sh,1,base,1
sh,MAKEDEV,8,base,0
sh,chroot,8,base,1
sh,tip,1,base,1
sh,csh,1,base,5
sh,true,1,base,0
sh,false,1,base,0
sh,mandoc,1,base,0
iwm,iwm,4,base,5
ifconfig,ifconfig,8,base,5
ifconfig,ifconfig.if,5,base,5
ifconfig,awi,4,base,1
ifconfig,vax/ix,4,base,1
ifconfig,xge,4,base,1
configure network interfaces,ifconfig,8,base,5
configure network interfaces,brconfig,8,base,3
configure network interfaces,ifmedia,4,base,4
configure network interfaces,dhclient-script,8,base,4
configure network interfaces,netstat,1,base,1
configure network interfaces,ldpd.conf,5,base,0
configure network interfaces,dhcpcd.conf,5,base,4
configure network interfaces,amd.conf,5,base,0
configure network interfaces,krb5.conf,5,base,0
